HCPCS,MOD,DESCRIPTION,STATUS CODE,PAYMENT,RVU,PE RVU,INDICATOR,PE RVU,INDICATOR,RVU,TOTAL,TOTAL,IND,DAYS,OP,OP,OP,PROC,SURG,SURG,SURG,SURG,BASE,FACTOR,PROCEDURES,FLAG,INDICATOR,AMOUNT,AMOUNT,AMOUNT
A0021,,Outside state ambulance serv,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0080,,Noninterest escort in non er,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0090,,Interest escort in non er,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0100,,Nonemergency transport taxi,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0110,,Nonemergency transport bus,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0120,,Noner transport mini-bus,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0130,,Noner transport wheelch van,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0140,,Nonemergency transport air,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0160,,Noner transport case worker,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0170,,Transport parking fees/tolls,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0180,,Noner transport lodgng recip,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0190,,Noner transport meals recip,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0200,,Noner transport lodgng escrt,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0210,,Noner transport meals escort,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0225,,Neonatal emergency transport,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0380,,Basic life support mileage,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0382,,Basic support routine suppls,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0384,,Bls defibrillation supplies,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0390,,Advanced life support mileag,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0392,,Als defibrillation supplies,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0394,,Als iv drug therapy supplies,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0396,,Als esophageal intub suppls,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0398,,Als routine disposble suppls,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0420,,Ambulance waiting 1/2 hr,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0422,,Ambulance 02 life sustaining,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0424,,Extra ambulance attendant,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0425,,Ground mileage,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0426,,Als 1,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0427,,Als1-emergency,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0428,,Bls,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0429,,Bls-emergency,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0430,,Fixed wing air transport,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0431,,Rotary wing air transport,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0432,,Pi volunteer ambulance co,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0433,,Als 2,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0434,,Specialty care transport,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0435,,Fixed wing air mileage,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0436,,Rotary wing air mileage,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0888,,Noncovered ambulance mileage,N,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0998,,Ambulance response/treatment,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A0999,,Unlisted ambulance service,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A2001,,"Innovamatrix ac, per sq cm",C,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A2002,,Mirragen adv wnd mat per sq,C,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
